eplenmean,explained_variance,clipfrac,time_elapsed,eprewmean,fps,approxkl,serial_timesteps,total_timesteps,value_loss,nupdates,policy_loss,policy_entropy
192649.0,0.9995510753069539,0.21831468,1160.6308164596558,-248378.339465,2075,0.014086718,202752,2433024,0.00013996393,99,-0.03430872,29.957407
192649.0,0.9995061967056245,0.21684161,1172.2418112754822,-248378.339465,2116,0.01411472,204800,2457600,0.0001342391,100,-0.034560196,29.877476
103404.5,0.9994132908759639,0.22364911,1184.0260932445526,-127288.316452,2086,0.014633065,206848,2482176,0.00020304714,101,-0.032361157,29.796362
103404.5,0.9994731866754591,0.22549239,1196.159838438034,-127288.316452,2025,0.01468647,208896,2506752,0.00013493242,102,-0.03471362,29.712017
103404.5,0.9995940019143745,0.21925461,1207.9086184501648,-127288.316452,2091,0.01431126,210944,2531328,0.00012189482,103,-0.034740455,29.659018
103404.5,0.999629600555636,0.22360435,1219.6244015693665,-127288.316452,2097,0.014495564,212992,2555904,0.00012456819,104,-0.035341427,29.593563
103404.5,0.999670672317734,0.22867021,1231.7282493114471,-127288.316452,2030,0.01491933,215040,2580480,0.00011579851,105,-0.036022507,29.52569
103404.5,0.9996161111921538,0.23079427,1243.8912332057953,-127288.316452,2020,0.015015706,217088,2605056,0.0001349609,106,-0.034809448,29.458038
103404.5,0.9996290107956156,0.2262371,1255.5508930683136,-127288.316452,2107,0.014670139,219136,2629632,0.00012522825,107,-0.034554593,29.402594
103404.5,0.9996880091493949,0.23616545,1267.5627207756042,-127288.316452,2046,0.0154482545,221184,2654208,0.0001134016,108,-0.03615902,29.35236
103404.5,0.9996579638973344,0.2313802,1279.5706360340118,-127288.316452,2047,0.0150458645,223232,2678784,0.00010813909,109,-0.035472378,29.279242
143452.0,0.9993241093470715,0.23304853,1291.5783553123474,-173625.69824433333,2046,0.015175168,225280,2703360,0.00014771338,110,-0.033554856,29.239996
143452.0,0.9995813108398579,0.22331946,1303.2984113693237,-173625.69824433333,2097,0.014645802,227328,2727936,0.000110085915,111,-0.03435944,29.204199
143452.0,0.9995396403828636,0.2299805,1315.1041753292084,-173625.69824433333,2081,0.015060542,229376,2752512,9.4313684e-05,112,-0.033958457,29.150183
143452.0,0.9996836801292375,0.23285317,1327.0126037597656,-173625.69824433333,2063,0.01528365,231424,2777088,9.3324954e-05,113,-0.035925325,29.073008
143452.0,0.9996137437701691,0.23111169,1339.2782282829285,-173625.69824433333,2003,0.015101905,233472,2801664,0.000100868216,114,-0.034935787,28.99699
143452.0,0.999692815617891,0.23383382,1351.2341544628143,-173625.69824433333,2055,0.015301856,235520,2826240,8.9131405e-05,115,-0.03544026,28.966034
143452.0,0.9996923762955703,0.23467608,1363.059482574463,-173625.69824433333,2078,0.015331346,237568,2850816,9.1952665e-05,116,-0.034837637,28.925531
143452.0,0.9996854613709729,0.23316236,1374.9654314517975,-173625.69824433333,2064,0.015178142,239616,2875392,8.960704e-05,117,-0.034669884,28.869883
143452.0,0.9997139825427439,0.23593345,1386.7693452835083,-173625.69824433333,2082,0.01545271,241664,2899968,9.091678e-05,118,-0.035139315,28.830841
143452.0,0.999744380795164,0.23394358,1398.492268562317,-173625.69824433333,2096,0.015402946,243712,2924544,8.435086e-05,119,-0.034438364,28.76481
143452.0,0.9997366028546821,0.23991697,1410.3617956638336,-173625.69824433333,2070,0.015733516,245760,2949120,7.62288e-05,120,-0.035361078,28.717129
143452.0,0.9997477405995596,0.23753262,1422.0294117927551,-173625.69824433333,2107,0.015626846,247808,2973696,7.7296354e-05,121,-0.03516,28.64977
196380.0,0.9986607199534774,0.250354,1434.2615323066711,-233461.1935828333,2009,0.016929507,249856,2998272,0.00023920706,122,-0.031127777,28.62528
196380.0,0.9973706882447004,0.25615233,1446.3520214557648,-233461.1935828333,2032,0.017294442,251904,3022848,0.00010408791,123,-0.033451367,28.610662
196380.0,0.9983526022406295,0.26035962,1458.6890511512756,-233461.1935828333,1992,0.017404478,253952,3047424,8.812725e-05,124,-0.034617655,28.568958
196380.0,0.9986859989585355,0.25596923,1471.0154919624329,-233461.1935828333,1993,0.017398862,256000,3072000,7.1928465e-05,125,-0.034218837,28.5029
196380.0,0.999056821630802,0.2502645,1482.7823646068573,-233461.1935828333,2088,0.016670141,258048,3096576,7.2333874e-05,126,-0.03467732,28.442286
196380.0,0.9992572064511478,0.24421795,1494.5823767185211,-233461.1935828333,2083,0.016338533,260096,3121152,6.735638e-05,127,-0.03527408,28.39064
196380.0,0.9995818607276306,0.24766032,1506.7096481323242,-233461.1935828333,2026,0.01646636,262144,3145728,5.6376855e-05,128,-0.034504145,28.336374
196380.0,0.9996171802049503,0.24797364,1518.6814382076263,-233461.1935828333,2053,0.016401246,264192,3170304,5.9614813e-05,129,-0.033716135,28.264353
196380.0,0.999758552556159,0.24933672,1530.896910905838,-233461.1935828333,2012,0.016490316,266240,3194880,4.9628026e-05,130,-0.034809276,28.177952
196380.0,0.9997400166466832,0.25130203,1543.0358407497406,-233461.1935828333,2024,0.016568819,268288,3219456,5.440925e-05,131,-0.03641779,28.111095
196380.0,0.999777251316118,0.25054535,1554.9414858818054,-233461.1935828333,2064,0.016522845,270336,3244032,4.9667084e-05,132,-0.035900485,28.06609
196380.0,0.9998154668719508,0.24189445,1566.7853915691376,-233461.1935828333,2075,0.01604934,272384,3268608,4.713346e-05,133,-0.034500178,28.002085
